"District,N,10,0","Route,C,10","County,C,3","Postmile,C,10","Descriptn,C,100","Back_pk_h,N,10,0","Back_pk_m,N,10,0","Back_AADT,N,10,0","Ahead_pk_h,N,10,0","Ahead_pk_m,N,10,0","Ahead_AADT,N,10,0","Lat_S_or_W,N,19,11","Lon_S_or_W,N,19,11","AbsPM_S_W,N,13,11","Lat_N_or_E,N,19,11","Lon_N_or_E,N,19,11","AbsPM_N_E,N,13,11"
12,1,ORA,R0.129,"DANA POINT, JCT. RTE. 5",0,0,0,3750,40000,37000,33.46700782000,-117.66980890000,0.00000000000,33.46705125000,-117.66980890000,0.00000000000
12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN",2850,38500,36000,2850,38500,36000,33.53174413000,-117.77487180000,4.51400000000,33.53175236000,-117.77487180000,4.51400000000
12,1,ORA,9.418,"LAGUNA BEACH, RTE. 133 N.",2850,38500,36000,3600,43000,40000,33.54273836000,-117.78531850000,5.50200000000,33.54273836000,-117.78531850000,5.50200000000
12,1,ORA,19.797,"NEWPORT BEACH, RTE. 55",4100,50000,46000,4400,42500,40000,33.62115559000,-117.92935860000,12.48700000000,33.62127138000,-117.92935860000,12.48700000000
12,1,ORA,21.549,SANTA ANA RIVER BRIDGE,3550,34000,32000,4300,41500,39000,33.63055843000,-117.95662330000,14.23900000000,33.63066656000,-117.95662330000,14.23900000000
12,1,ORA,22.09,"HUNTINGTON BEACH, BRKHURST",4300,41500,39000,3900,37500,35000,33.63520250000,-117.96415090000,14.78000000000,33.63531631000,-117.96415090000,14.78000000000
12,1,ORA,23.739,"HUNTINGTON BEACH, RTE. 39 N.",3900,37500,35000,4100,39500,37000,33.64848863000,-117.98828660000,16.42900000000,33.64864662000,-117.98828660000,16.42900000000
12,1,ORA,33.719,L ANGELES/ORANGE CO LINE,4000,45000,41500,0,0,0,33.75092967000,-118.10603260000,26.40900000000,33.75099223000,-118.10603260000,26.40900000000
12,1,ORA,33.719,L ANGELES/ORANGE CO LINE,4000,45000,41500,0,0,0,33.75092967000,-118.10603260000,26.40900000000,33.75099223000,-118.10603260000,26.40900000000
7,1,LA,1.86,"LONG BEACH, BELLFLOWER",3400,37500,34500,2550,28500,26000,33.80264399000,-118.12381940000,26.13200000000,33.80281487000,-118.12381940000,26.13200000000
